3D small cj84ru87u.3bp6dj94cj84a86？	3D small 畫家有人會畫嗎？
t84cp32ji u,6，c86qu65 g. fu06，wji6u.4z.3dj941; su3 sell	差很多耶，蝦皮只收錢，他又不會幫你 sell
zj6au3au6n wu6 IQ high cj06g4ej0 hjo4xu4 good ？	福爾摩斯是 IQ high 還是觀察力 good ？
d04-4xjp6 good 2u04u/3cj86sm3g/ ru,3ap4vm06wu6dji4fm x8 	看二輪 good 電影找女生她們還是會去啦
u.3g6rul42k6w96j0  good xji c.4 d9 au/4rm 2k7y94g4g84	有時覺得台灣 good 落後 開名車的在跩啥
cjo6x94 sell x/3fu4，xu;4su/4c.4qu njo6j;6	回來 sell 冷氣，兩年後被遺忘
e0 ， job rup42ji6tl3ru03g41j4s/61i i7？	幹， job 進度超前是不能發喔？
rm62/ cj06 good x8 ，w9 2u04ru.494dj/3ck4bp6aup6，n4ru/4vu6ej04xul3	橘燈還 good 啦，台電就愛恐嚇人民，已經習慣了
u; jp6vu04y94cj06 important a86?	英文現在還 important 嗎?
vu nji3g42841u04g94g.3 good a83	西索是大便殺手 good 嗎
m06vul  fast 2l4xk7，zj4xj4c.6t8 vu84x96wu6？	元宵 fast 到了，福祿猴接下來是？
2;7b06g4 new 8 aj3g3wk4x;3vm04z/ qp u4k3aj3g3wk4x;3qj 	當然是 new 阿姆斯特朗旋風噴射阿姆斯特朗砲
fm06fu.6 sell ek3ru fu0 j04u6h96s/6cjo61p 。 sell ek3fu0 j04u6u.4ul3 good ru su/4	全球 sell 個幾千萬台才能回本。 sell 個千萬台又要 good 幾年
good j8  su3ru.45l4j0 ru04y4fm4t86u/ e9 ru.4u.3bji4~	good 挖 你就照關鍵字去查應該就有惹~
good ji3g4g4d0  u04u;42jo4a84？	good 我試試看 這樣對嗎？
28454g;3 agree up jo4ru87xu3u.4ru03 u.4g4j6dj/3 vul3c96u6z. ru ru6	大致上 agree 因為家裡有錢 有恃無恐 小孩也不積極
vup c94xj4q;6 job gj; w;3ru.4w;4vm06u.3cp32ji bp6qo6su3w;3	辛亥路旁 job 爽躺就躺還有很多人陪你躺
53dl3dl3eji6jp6 fast ap4zp42u ？	指考考國文 fast 滿分的？
m/62l4ru.4.32l48 ，u.4ao6gp6ak7 weird 2u 	遇到就遇到啊，又沒什麼 weird 的
gp hjp316 small g6	深蹲16 small 時
ru;3cj84 good 5j/4-4	講話 good 中二
2u4u vup  large 286ej;4ej42k7zp4g.3u.6g4sk6u6dj03?	第一款 large 打廣告的糞手遊是哪一款?
yji41j4284 su3u.4d04eji7m6t;62u4qu6m6e;  large 2u6a87	做不大 你有看過魚長的比魚缸 large 的嗎
z04j03ep xu4t;6sji6ek4 important ？	飯碗跟立場哪個 important ？
u.4ao6u.3el4ru6 tool bp6g4ji32k718 ej84	有沒有高級 tool 人是我的八卦
jo6g6ak7 good x96j 2k75j/ jp6m4z832. ej94ej942u6?	為什麼 good 萊屋的中文語法都怪怪的?
so3q.3x86ej03 new g6-4g/ vul4a86 ji3vu;3c06wji6ru 	哪部喇幹 new 十二生肖嗎 我想幹蛇姬
w9 j0 g4ao6u.3ao3sm3xul4a83？jo6gp6ak72j zj42l3 large vul3S	台灣是沒有美女了嗎？為什麼都報導 large 小S
w84eji62l4dk4mp4dj94ru4 safe 294a87?	搭國道客運會繫 safe 帶嗎?
ru45ji61u4rm,6 good gjo4.ul6x94ul6fm4u61j4q84	繫著比較 good 睡.搖來搖去也不怕
vu 2j62u6 large qu/6w96y94gp6ak72u4z; ？	吸毒的 large 平台在什麼地方？
5o4u;4y9 cjo4u.3bp6fm4 buy ul483 u fu,42j g4xm,4t;32u60 a.6	這樣才會有人去 buy 藥啊 一切都是藥廠的陰謀
good yj04k4 bj6ej04ao6yj042l4ru.4dj94vu;42j3y7qu4286u6fm06u6vu;4	good 賺啊 如果沒賺到就會像肚子被打一拳一樣
1j4cl3x8  cp3 easy qu bj42l4。vu vu 	不好啦 很 easy 被肉到。嘻嘻
u.4ao6jo3twitchy94n4j0 gk4 server 2u4186ej84?	有沒有twitch在台灣設 server 的八卦?
cj06u.3 good 2k7su.6b.4dl3j3zp ru.4 good ，rm4njp u 2jo gji z.3ru04ru;42u fu 294g86	還有 good 的牛肉烤五分就 good ，聚餐一堆說不見紅的期待啥
y94j94au04wu/ 2l4 good wu/ 2u up xk4	在外面聽到 good 聽的音樂
y94vup 1o4.32l41o4 weird 2j/4j41o 1l eji6vul3sm3wj/6yp3ak7104	在新北遇到背 weird 動物背包國小女童怎麼辦
1ul3y78  sell b.4wu3 u.41j4ru3ej03	婊子啊 sell 肉體 又不給幹
jo3ao6jo3vup  pull au042u4186ej84?	有沒有辛 pull 麵的八卦?
wj/4 pull au04 xu3 pull au04	同 pull 麵 李 pull 麵
au/6a/4ru.4wu686 su3d0 1j42j/3 small gji  jo4ck61j4fm41j3eji6jp6	明明就是啊 你看不懂 small 說 為何不去補國文
qi4su3xl3X ul4294z/3vu;4vu0 183xl61l3xl6wjo4ful 2j/3y94x94 good a86	破你老X 要帶風向先把勞保勞退搞懂再來 good 嗎
gj;3ru.4 good xul3，ej031u,6bp6yji4g84，su3su04w9 294jo41u,6bp6su042u4?	爽就 good 了，管別人做啥，妳念台大為別人念的?
w961o3bp6ru.4g4w942ji z;6y7h96 ugly 2u 5k4u;4a87?	台北人就是太多房子才 ugly 的這樣嗎?
nj04w9 1u43u 2ji  good xul3 w961o3e/3ul cj86u/ e9 s96cj862l4tl3eji 3u 2k7	算台幣3億多 good 了 台北硬要找應該能找到超過3億的
gji 2l4vu8418 cp3 long 2u6bp6(c.42l4)dj94vu;32l4gjo6	說到下巴很 long 的人(厚道)會想到誰
h6wk41j4ru.4 good xul4 s86y4fu3u61o4y7fu0 j06vul4 gp6ru/41u/4i6	辭職不就 good 了 拿自己一輩子開玩笑 神經病哦
ao6jo3 ji3cj86chenglap large 2k7jp6eo3su3	沒有 我找chenglap large 的文給你
193j04 large ek vu/ ～	百萬 large 歌星～
jp4wu6g4xu;6bj3h96z. dji4vm04zo6596 ，t/6t/6 good a83	問題是梁女才不會選肥宅 ，醒醒 good 嗎
j4j  u84xu4 large 2j3gj xul3	嗚嗚 壓力 large 賭輸了
1j6cji42.42u bp6d9 vup ru.4 good	不過投的人開心就 good
NBAs96x04n0 su/4wj/4fm ck6 fu6w8 mp42j/4z/3u06 high w942ji 	NBA能連三年同組合 其他運動風險 high 太多
94zo3au3wu,3287wu6rup4y m 5;3t/62u42u4-4 large zo4j4a87	艾菲爾鐵塔是僅次於長城的第二 large 廢物嗎
-6su3w;3y94 photo ru032u6vu; y7xu3	而你躺在 photo 前的箱子裡
fm4t g6ak7ru.4ul4ql t6vu; 2jo4u/42u  idea wu6ru 1p t;654187	去吃什麼就要抱持相對應的 idea 是基本常識吧
su3u/4e9 jp4su06ru4ul42ji  small	你應該問年紀要多 small
tj; g4qi4vul32l42u3g4n0  small	創世破曉到底是三 small
su3ej84ek3xu;3n0 su/4s86fm 8591 sell u.4yj04ek3xu;3n0 fu0 	你掛個兩三年拿去8591 sell 又賺個兩三千
professor 2u6g.3ru u.3 weird cj84au04yp3ak7104	professor 的手機有 weird 畫面怎麼辦
fm06w96wj/4g6 high 5j; ru03cjo4yp3ak7vu;4	全臺同時 high 裝檢會怎麼樣
84 vu;4 hot tl3g42k7	阿 像 hot 炒似的
xup6d.3vu/ 18 dk4au42ji6 high 2l4ck4bp62k718 ej84	林口星巴客密度 high 到嚇人的八卦
zj4xu4eji6ej 2u4 pay qu3vul4 low ej/ g6qu6rul4 high ？53u.3gjo41u4rul4 high s/6n4	福利國家的 pay 比較 low 工時比較 high ？只有稅比較 high 而已
5/4ao4wj/4t;62. tj04gp6ak7u06g932k7 safe dj4	正妹通常都穿什麼顏色的 safe 褲
1j4m/42ji ru.3xul3 y9418ek4 small g6ru.45 2l4go6ao6tj0 dj4y3	不用多久了 再18個 small 時就知道誰沒穿褲子
fast dl3g4rul42o3cp3ful6xm4yp3ak7104	fast 考試覺得很焦慮怎麼辦
xm,45j; 2u04 buy 2u 2l42u62j qu04qu04su3m/4-6n4	藥妝店 buy 的到的都騙騙你用而已
ru.4vu;4n0 eji6u04u4xu03vm4rm4, new 1i62u6ru.4wu6t84 old 1032u6u 2u03ao42l3	就像三國演義連續劇, new 拍的就是差 old 版的一點味道
5j dk3u3 su.6jo32u03s04 2842ji gj3su.6jp3gp62j  good u. m4	豬可以 牛有點難 大多數牛眼神都 good 憂鬱
fu; n0  small su3vu84au042l4g6c.4ru.4cjo4qu4ji fu, 2ul4x w. fu/6j0618 	搶三 small 你下面到時候就會被窩切掉ㄌ 偷情丸八
10su/4w8 c96jo3x96n4j0  open u03t;4dji4	10年他還有來台灣 open 演唱會
d/ n0  small wu6d;42l4s84gjo4bp6 ej/ ru8 ru j03u/ e9 ej/ 1j4h3bp6g/ au/4	坑三 small 是坑到納稅人 公家機關應該公布此人姓名
u.4ao6u.3bp6gji fu/6ek hj/ g4xl32k7 good 2u6186ej84？	有沒有人說情歌總是老的 good 的八卦？
wul4g;  sell 2u 30m06u3g;4n0 au/654fu z83?	超商 sell 的30元以上三明治吃法?
dj94u.4vu j;4y4ru3yj/ g4ru,4vul g 2u  idea a86	會有希望自己從世界消失的 idea 嗎
ej/ n0  small u.4s84g.3	公三 small 又哪首
vm/62; 2l4w96j0 bp6n4ru/ gj; eji4fu6t/62u4fu.6bp6 tj/6xu04z/4u06w8  high bk3	能當到台灣人已經爽過七成地球人 重練風險太 high 惹
u.3ao6jo3 large wu0 g32u6vu4vu 2k7186ej84?	有沒有 large 天使的氣息的八卦?
t/6n0  small u6a rul4ue 2k6vu/6 su3vu;320 wul7a e0 	嗆三 small 蛇ㄇ叫ㄧㄍ德行 你想單挑ㄇ幹
rup4ru 2u fm6bp69 large rm4bp6wu6gjo6？	進擊的巨人9 large 巨人是誰？
e03al4u456 good 1j4fu3x942u6ej84？	感冒一直 good 不起來的卦？
long 2k7vu;4nj4dk42862u 2;4rm wu6xl3jo3g4q96 ji3e; cl4u,3u.4u4w96	long 得像速克達的檔車是老偉士牌 我剛好也有一臺
xm,42jp41u3rm,6 good au3ru.3ru8 2ji u650 	藥燉比較 good 米酒加多一點
good dk3xu06 pojp6wl3q9 ru,6ej041o4z04fu;4	good 可憐 po文討拍結果被反嗆
fm4294103u.3gp6ak7g41u4 buy 2u4？	去大阪有什麼是必 buy 的？
large u6=au031u4xul6ej/ ？	large 一=免費勞工？
large 8 fu vu z04dji4184qo4h94x83y94u4fu3a 	large 啊吃稀飯會把配菜喇在一起ㄇ？？
5k45; cl3 pretty	這張好 pretty
2u3545j/4eji687！c96 good ji353m/4wl61l3 buy 2j/ vu 	抵制中國啊！還 good 我只用淘寶 buy 東西
su31j45 2l4w96j0 bp61j6ejo4z.3 buy a83？	你不知道台灣人不貴不 buy 嗎？
2. 3 small ej03	都3 small 幹
su618  su3su/6 su4ru;4 jo3gp6ak7 close vu4?	泥巴 泥濘 泥漿 有什麼 close 係?
z06gk4 sell a/6?	楓葉 sell 萌?
dl4wj/3u6fm4 sell eji62l42u3u.4g6ak7ao4xu4?	搞統一去 sell 國到底有什麼魅力?
2jo486w961o3g;4qi tl3ru62ji 2k7 good z. vu6ej04 vu84qi y9 fu/ nj/ au, 	對啊台北上坡超級多的 good 不習慣 下坡才輕鬆咩
j94vu,6 disk u.4u4up yp3ak7104？	外接 disk 有異音怎麼辦？
vup4u;3xu41j4yj6 fu/3fm4 buy hji vup 2u4mbp good a83	信仰力不足 請去 buy 最新的mbp good 嗎
xu04n0 vul cji4n4vul  nj42j4ul3dj942ji4cp3 easy ru.4w96tj/ ai4	練三消或四消 速度要快點很 easy 就能衝百
su3u.45 2l4「2j 」xk7？ open 2u6g6c.4su3z. dj94fm 5j4u 8 	你又知道「都」了？ open 的時候你不會去注意啊
el4fu.6ru,4hl6ck4yjo4rup4 good a87	高球界曹格最近 good 嗎
dk3u31; ji3j06BF1a87 good s06xu04	可以幫我玩BF1嗎 good 難練
ji3 small g6c.4vu3cj0 t x84 dk3g4vu04y94t x84u62u/4x8 2j4y7	我 small 時候喜歡吃辣 可是現在吃辣一定拉肚子
x84c.4，u04bp6ru8 2l4xk72u4xu3 large 1i vu04n4c.4，eji6ru8 wu354j06fm062ul3286	落後，但人家到了地理 large 發現以後，國家體制完全屌打
μ's cji4 PPP so3ek4 idol tj06wu 1u3rm,6ru;4	μ's 和 PPP 哪個 idol 團體比較紅
c96 good 1j6g4g32j/4，cp3y;32u6	還 good 不是屎洞，很髒的
m/62l4 large 2u45p4yp3ak7104	遇到 large 地震怎麼辦
fu/4z03d942u j03xu/6vu4 good a87	請反核的關冷氣 good 嘛
1p3103bj6ej04 cancel vm  g41j6g4dj941u042o3vu;6ck6	本版如果 cancel 噓 是不是會變得祥和
g6j04y9418 ej84103g42u g. bj4cj4 good a83 5p 94u6e03yjo3	十萬在八卦板是低收入戶 good 嗎 真愛也敢嘴
good q/6u.35 4q/6u.3？	good 朋友只4朋友？
j03gjo4u/4e9 zj cjo42ji 2l4z0 qo6 sell 18 ？	關稅應該不會多到翻倍 sell 吧？
low d83g4284vm,6g/ x8 。 mgp6ak72k7h96wu6el 5j/ g/ 	low 卡是大學生啦。 m什麼的才是高中生
dk3g4ej/ jo4vu42u dk3u3fu/ nj/ d03n3u g/ 2u6 pay ……	可是公衛系的可以輕鬆砍死醫生的 pay ……
5;31o42j 283so4ak7 large 2u6,ji353g4583cj8  gj4ej;4ru.4cj04bp6	長輩都打那麼 large 的,我只是插花 輸光就換人
m6 good large 2u m6 cj3jp4g8 m6	魚 good large 的魚 虎紋鯊魚
ru, 1u,6ru.4wu6u410  in ek g.3m/42u6xul6wj06wj06mp6ao6ru4bp65 2l4au/6y4	差別就是一般 in 歌手用的樂團團員沒幾人知道名字
new wul w8 x;6xu32u6ejo3j;6g41j6g4nji vu6X Japan?	new 桃太郎裡的鬼王是不是抄襲X Japan?
10j04ek4bp6y94d0 u04ek4wu6n0  small ??	10萬個人在看這個是三 small ??
fm/6xj31j6dj94a83g;41u07 buy u4dj03i 	窮魯不會馬上邊 buy 一顆喔
ao6dl3g;3dk3u3fm4 job , 5/4zj3vm06ao3ek3m,41j3wu, 1j04ui 	沒考上可以去 job , 政府還每個月補貼1萬唷
2jo4q;6ao6u ru04ru.4 good x87	對方沒意見就 good 啦
2;7j35j g4ek4 good gj8 u4a86？	當母豬是個 good 選擇嗎？
cj8 xu03，nj04wu61o42;42u4bp6j062l4 bad sji62u4a86	花蓮，算是被當地人玩到 bad 掉的嗎
ru8 u6ru bj4z04g4yjo4 easy y.3ao42u w96j0 vul3fu a86?	嘉義雞肉飯是最 easy 走味的台灣小吃嗎?
1j6ul4xj0419  open	不要亂掰 open
aj6fup ru, 2l42u3e9 nj/4g6ak7 good su 	母親節到底該送什麼 good 呢
ul u.4vu06cj06wu6ek h6jp6，y4ru3vm03u6ek3 good a87？	要右肩還是歌詞文，自己選一個 good 嗎？
eji6wj65/4ao4xm4cp3 high ？	國圖正妹率很 high ？
j3xu/6sj/6g; u.3，wj/6rul4rul42o3 good cold ，u04ru,3vu0 g/ tj042j03vu.4。	武陵農場有，同學覺得 good cold ，但她先生穿短袖。
q/6u.3ul41u4u,4 nj/4sji6u6fm6cj84ru3w8 s 	朋友要畢業 送哪一句話給他 good ㄋ
g.3g;42u4 large u03y3ji3dk3u3>////<	手上的 large 眼仔我可以>////<
w9 s8 xm4xm4d9 g3 pull close vu42u ej84	台南綠綠開始 pull close 係的卦
small g6c.4qu 1u fm41j3vu610 u.32ji 2j3x04	small 時候被逼去補習班有多賭爛
ai6z83xu3ru,3y94vm,6rul4rul4vu6xul454gl38 small g6c.4jo4ck6vm06ul31j3vu6	無法理解在學校學習了至少8 small 時後為何還要補習
su3ul gji t6ao6bp6ej03 ru,3h96cjo4vu4qj qj :tl42ji bp6vu;3c062u  good a84?	你要說她沒人幹 她才會氣噗噗:超多人想幹的 good 嗎?
good vu;32j6xu4i4，yp3ak7104	good 想獨立喔，怎麼辦
Uber1ul3g4: small cj;6nj454t84 gj8 ji35/4ru,3	Uber表示: small 黃素質差 選我正解
rup m/6204qi4wu0 e.3y86tj/6nj42j4jo32ji  fast ？	金庸石破天狗雜種速度有多 fast ？
rup m/6s84u;4ru;3? nji3u3jo6u6vul4nj42j4vm06qu32j/ z;31j6194 fast ?	金庸那樣講? 所以韋一笑速度還比東方不敗 fast ?
vu;3w942ji ，jp6y71u/4n32u6j;3ru8 xu3yj0  good a84	想太多，蚊子拼死的往家裡鑽 good 嗎
su06fu/4bp6 buy q;6zj dl4zj4aj32u wu6ru6gl4gj4cl4a83？	年輕人 buy 房不靠父母的是極少數好嗎？
c96 good q8 ，u6ek4bp6u6h42u6vul 1u4	還 good 吧，一個人一次的消費
y04 xu.4up6 share	讚 留言 share
fm0604ai61 small g6 2ji gl31u3vul4ck6xu3?	純按摩1 small 時 多少比較合理?
2k6bj42292u4 large rul45;4s94y94pttw94g/ c/65l6y.3a86	登入229的 large 學長能在ptt大聲橫著走嗎
ji3vm ul4286xl3bp6 pro	我需要打老人 pro
large y9 jp4！504bj3u xji4n nji vu6ai6ejo35j/ ru, 5k33？	large 哉問！戰女伊洛斯抄襲魔鬼終結者3？
gj bk3jo6z832u4ej/ yji6gp6ak7 job hji 2u6ek38+9	除惹違法的工作什麼 job 最適合8+9
1l30 xo4 job	保安類 job
su3a8 ep su3184184ru, cjp g6g4tj3bj3a87？cp3 important a84？	你媽跟你爸爸結婚時是處女嗎？很 important 嗎？
u03d93w94 open g6ak7rm su ？	嚴凱泰 open 什麼車呢？
su3ap4 fast a93x87ru rmp ji3h96u.41up xu4 open	你們 fast 買垃圾菌我才有賓力 open
ru.4ej9 ej9 29 y94w9 j0 ru.4 good xul4 x;4zo4ru03e04a8 	就乖乖呆在台灣就 good 了 浪費錢幹麻
t cji4u04ej 2u c86xu4 ao6u.3rm,62k7u.4 bad sji6vu,6	吃過這家的蛤蠣 沒有覺得有 bad 掉耶
w96z/4 new jp6t;6t;6u.3bp694vu;4xj42j04rul42j04rm aup6g.4djp429 m062u6vup jp6	颱風 new 聞常常有仁愛鄉路斷橋斷居民受困待援的新聞
vul3e.3j0  small 18 xu72l3 wl6g6c9304	小狗灣 small 巴里島 跳石海岸
su065j/ ru;3rup4u/4z.3u/ e9  cancel ?	年終獎金應不應該 cancel ?
832862u  large zo gj3zo c/6gj4u.4dk3s/6w84t/6a83	阿達的 large 飛鼠飛行術有可能達成嗎
s93 large 2k7g41u3y32u4ru xm4cp3 high c96wu6nj04xu03wjo3d831l3ru03	奶 large 的是肥仔的機率很 high 還是選臉腿卡保險
jp6tj;  high qup354u.3ru u;3g/ 584ru 194	文創 high 品質有機養生炸雞排
2/3vu/ tp6mp4vu/62l45/4fm,42k7 location	等星辰運行到正確的 location
gk4ru4vu4s86macvm06wu6surface good	設計系拿mac還是surface good
qu3rul4 good (dl41o4ji3u,3ul3fm4tj/6vu. xul4	比較 good (靠北我也要去重修了
nj4g6vu04y941j654jo4ck42. a06u.42u4，2; b06fu ru.3ru.4 easy 1u04q04，u04	素食現在不知為何都蠻油的，當然吃久就 easy 變胖，這
ru;3vu xul4 g4vm6cj;32u  small gl6	講錯了 是徐晃的 small 招
2/3su3qu k42k6a04y3w06 open u fu;3ru.45 2l4vu04g4zj4	等你被亞德曼子彈 open 一槍就知道現世報
2u04y71i qul 5j/4ru;3xm,4g41j6g4qu6rm,6 low ?	電子發票中獎率是不是比較 low ?
vup 5j6su/4vup ai4j04y94s061j42k72/3vul4 pay g4?	新竹年薪百萬在南部的等效 pay 是?
vu e941i62ul4wu6l4mp4s83ek4a86？sk6ek4 video 5p 2u6w8 gp c04	膝蓋爆掉是奧運那個嗎？那個 video 真的太震撼
vm06ul 294vu4dj; cji4co hj dj;4u03ru/4 a832u4u.4e.4 ugly ek619 	還要戴細框或黑粗框眼鏡 馬的有夠 ugly 假掰
e; fm45l3ao6u.3vu,4，cl4fu6 long 2u6yp3vu;4?	剛去找沒有欸，好奇 long 的怎樣?
j94au045o4ak7 hot ul35p3ai4104?	外面這麼 hot 要診抹辦?
large up6a04d0 e03rul4j06fm061j4wj/6	large 銀幕看感覺完全不同
ru 54n4c06，204 small gji 1j4vu,3	其實已幹，但 small 說不寫
fu6g6d9 g3186ej84tj vu04u4yjo 1i61u,6bp6z. 5 2l4y4ru354g;  low 2u ru8 ?	幾時開始八卦出現一堆怕別人不知道自己智商 low 的咖?
ru.3ru8 xu3284qu04ej/ cj8 yji4ru;4yl4wu6284qu04s835j/3tj vu04n4qu04。 small rul xu.6	久家裡大片紅花酢漿草是大片那種出現四片。 small 交流
ru454cj06nj041j4gl3j  short z83 5j/4u wji62. vm06ru;4	其實還算不少喔 short 髮 中意他都還紅
w94rul4gj042u4u.32ji  important ？	大學專題有多 important ？
m/4vu04y94hji  hot ap62k7：n4j0 wu,3xji4y42j/4cj8 ru8 g3ai6fm 	用現在最 hot 門的：台灣鐵路自動化駕駛模組
large 2ul4ek g41j6g4s061j4bp6y94d0 2u6	large 釣哥是不是南部人在看的
jo6gp6ak7wj/6vu/4xu042j ul4so3ak7 high 2ul4	為什麼同性戀都要那麼 high 調
54c.4su353u.3 tool bp6ep qu z/ nji3gj8 vu;4	之後你只有 tool 人跟被封鎖選項
a832u4 c.4ej/ fm06g. q942u6504tj x96 good a84	馬的 後宮全收派的站出來 good 嗎
s062u  long 2u61j4vu w03z.35 2l4jo6g6ak740fu6nji4h96yji4y m06cjo6g. 	男的 long 的不錯但不知道為什麼40幾歲才做資源回收
u.3ao6u.3yl4qu6cj b061u04cp3 important 2k718 ej84？	有沒有草皮忽然變很 important 的八卦？
rm,6ful6q96g0 2l3c93ao6dl tj x96，1j4b06u/4e9 ep  large g dj;4u.32k7qup 	絕招排山倒海沒尻出來，不然應該跟 large 師兄有的拼
PTTu. jp6ru03gl4g41j6g41i ru03jp62u4 close vu4？	PTT優文減少是不是發錢文的 close 係？
small ai4vu/4d0 gk4dj945j cj8 1i6wu6u.41u4ul4104a87？	small 百姓看社會之花博是有必要辦嗎？
su3y94a84n0  small y;3cj84？	你在罵三 small 髒話？
u xu4u vu. rm,62jo4ao6jp42u4 u/ e9 gji  overtime 1u41j4zp42ji w942ji 	一例一休絕對沒問題 應該說 overtime 費部分多太多
q86 large gji4z; so3xu3	把 large 碩放哪裡
co 2u6 good 5j04k31; QQ	黑的 good 賺阿幫QQ
q/6u.3g/ 2u4-4w9 ，ul4nj/4gp6ak7 good ?	朋友生第二胎，要送什麼 good ?
small fu6m4e03rm,6tl 1j4 important ...c04rm,6wu6h.4g6ru0 ..	small 棋王感覺超不 important ...感覺是湊時間..
u/4e9 g4 long 1o42u4qu0 cl3q8  2jo45;31o4x96gji  su06fu/ bp6ru.4g45j/4-487	應該是 long 輩的偏好吧 對長輩來說 年輕人就是中二啊
j94t8  disk su,4ek4q96y7cl3？	外接 disk 哪個牌子好？
Tq96，u6dk aj4fu06u6n4su/4xk7vm06g4w.6 good 5j; 5j;4	T牌，一顆目前也四年了還是頭 good 壯壯
jo6gp6ak7sm3g/ g/ vul3c96c.4 pretty 2u6e03rm,6ru.4z. ru04	為什麼女生生小孩後 pretty 的感覺就不見
jo3ao6jo35k4ru wu0 dj;6 open u03t;4cjo42u4186ej84	有沒有這幾天狂 open 演唱會的八卦
5. su06fu; fm42u4vu84g4tl g4 buy 2j/ vu 	週年慶去地下室超市 buy 東西
ep rul 5j/4ru03co co 2u g4n0  small	根蕉中間黑黑的是三 small
dk3u31j6ul4 open 5j ek xu;4j06vul4a87？	可以不要 open 豬哥亮玩笑嗎？
tp6vu/ g41j6g4 safe vu845j; xk7	陳星是不是 safe 下莊了
w96j0 bp6cjo4vu;3d0 5k4tj/6 hot sl42u4 new jp4	臺灣人會想看這種 hot 鬧的 new 聞
djo6m6djp g.3rm04 zj 2o3tj  small ejo m6a84???	鮭魚卵手卷 孵得出 small 鮭魚嗎???
m06x94ao3bp6m6g45o4u;4t03g/ 2u4， fast dl ...	原來美人魚是這樣產生的， fast 尻...
PTT open Dcard103jo3ful w.6a86？	PTT open Dcard板有搞頭嗎？
dji4a93ji fm3dk42u4wu6g83 u04t06wjp6fm ru04gp cj06 good	會買萵苣課的是傻 但單純去健身還 good
c/62ul 2ji694h96g494,t03z. 203rm0 1j6 important	橫刀奪愛才是愛,單不單身不 important
t 2k7w941l3vm,4u8  high ，gj gjo3a.3ep bp61i6	吃的太飽血壓 high ，娶水某跟人跑
up6cjp6xl3e/3u.418 ej3 j06fm06dk3u3h9 2l4ru,6rm6 cp3j6xu.6 good a86	銀魂老梗又八股 完全可以猜到結局 很無聊 good 嗎
xu04yji3g.3s86dj94y7cp1u3vul4 high rm4h0 fu cji eji3gj; ej03ru vu84t/6cp3vm/ 	練左手拿筷子cp比較 high 聚餐吃火鍋雙管齊下搶很兇
good qo4zj6dj94vu,4t/6wk42k7bp6	good 佩服會寫程式的人
nji3n41j6g4gji  ej84ru/ xu3ru.4cp3xu4c94 pay cp3 high	所以不是說 掛經理就很厲害 pay 很 high
m/4su32u x03rul4vu;3u vu;3 5j8 j06xk7u3c.4ul q9 n0  small	用你的懶叫想一想 抓完了以後要拍三 small
xji 54vu;6ep  small 5j t;4ek sji6ek3 good wu/ ？	羅志祥跟 small 豬唱歌那個 good 聽？
u.3ao6u.3njp 5ji ru4cj842u vul zo4zj  cheap 2k7186ej84?	有沒有餐桌計畫的消費不 cheap 的八卦?
-6fu,3u/ e9 zj dj94m3m,4，1j6g4w8  hot ru.4wu6vu84m3，vm06u4yjo tj/6	而且應該不會愉悅，不是太 hot 就是下雨，還一堆蟲
u.3qu6k6xji6n z;3dj94e/  high fu;62j42u62u04ru/4u.6vu a83？	有比俄羅斯方塊更 high 強度的電競遊戲嗎？
high s045962k7ru, h.4u.6nji u/4e9 e/ s04187?	high 難度的節奏遊戲應該更難吧?
xup6eji61up ep xu6au/6 go6ej/4vu04 large ?	林國斌跟黎明 誰貢獻 large ?
2Du.6vu4 performance t 1u43Dc96tj/62u4186ej84?	2D遊戲 performance 吃比3D還重的八卦?
jp6fm .... performance 1j6g45 d0 ru3d	文組.... performance 不是只看幾d
ji3d0 xul3n0  small …	我看了三 small …
pay g41u4au4a84 ??	pay 是祕密嗎 ??
jo6g6ak7su3u456y94d0 vup jp41i3zj4,vup jp4d0430zp 5j/ ru.4 good	為什麼你一直在看新聞播報,新聞看30分鐘就 good
ji3sm3u.35j04u045;4 photo eo3ji3 w8 g4vu;304fu6g6ak7?	我女友傳這張 photo 給我 她是想暗示什麼?
ji3ap7jo4gp6ak7u62u/4ul4tl g; 24 small g6u/6u,4	我們為什麼一定要超商24 small 時營業
z035/42u04mp622k5k4tj/6 job u6j0 bp6xu/3xk7u,3z. dji4fu0 vup 	反正店員22k這種 job 台灣人領了也不會開心
u.3ao6u.32u04sl4103ao6jo3qu/61u4a.3vu, wjo jp6 feature 2u418 ej84	有沒有電腦版沒有屏蔽某些推文 feature 的八卦
G large ai6g6j6dk42. y94vu04g;42u e03rm,6XD	G large 無時無刻都在線上的感覺XD
small g6c.4n0 ek4vu; 1j32k7d83wj/ ?	small 時候三個相撲的卡通?
w961o32u  breakfast fu83xu42. 2ji gl387？	台北的 breakfast 價位都多少啊？
tl4g; sk4tj/6wu6vu86 small 2l3jo4fu 2u6 good a84？	超商那種是給 small 鳥胃吃的 good 嗎？
xu03vu84yjo4c.4u4wu0 vu84j3 schedule	連假最後一天下午 schedule
ejp3fm42u s/6d83z8  good a83 2; 5k41u071u32j4 good qu04ji 	滾去低能卡發 good 嗎 當這邊肥宅 good 騙喔
